eps,sample_id,l2_norm,cpop,log_l2,log_cpop
0.1,7,0.09999237209558487,0.21367236971855164,-1.0000331401824951,-0.6702516078948975
0.1,8,0.0999935045838356,0.15975800156593323,-1.0000282526016235,-0.7965373992919922
0.1,9,0.09999924898147583,0.04331169277429581,-1.0000032186508179,-1.363394856452942
0.1,10,0.09999974817037582,0.13392455875873566,-1.000001072883606,-0.8731397390365601
0.1,11,0.09999998658895493,0.219436377286911,-1.0,-0.65869140625
0.1,12,0.09999999403953552,0.10716155171394348,-1.0,-0.9699609875679016
0.1,13,0.09999904781579971,0.31751567125320435,-1.0000041723251343,-0.4982348382472992
0.1,14,0.09999903291463852,0.08478129655122757,-1.0000041723251343,-1.0716999769210815
0.1,15,0.10000000149011612,0.1026032567024231,-1.0,-0.9888388514518738
0.1,16,0.09999927878379822,0.08044528216123581,-1.0000030994415283,-1.0944994688034058
0.1,17,0.10000000149011612,0.2591261565685272,-1.0,-0.5864887833595276
0.1,18,0.09997893869876862,0.17809277772903442,-1.0000914335250854,-0.7493537068367004
0.1,19,0.09999966621398926,0.029234901070594788,-1.0000014305114746,-1.5340983867645264
0.1,20,0.09999406337738037,0.27536511421203613,-1.000025749206543,-0.5600910782814026
0.1,21,0.09999998658895493,0.1769852638244629,-1.0,-0.7520629167556763
0.1,22,0.10000000149011612,0.15656214952468872,-1.0,-0.805313229560852
0.1,23,0.09999985247850418,0.07551045715808868,-1.0000005960464478,-1.1219929456710815
0.1,24,0.09999977797269821,0.12635305523872375,-1.0000009536743164,-0.8984142541885376
0.1,25,0.09999450296163559,0.07465086877346039,-1.0000238418579102,-1.1269651651382446
0.1,26,0.09999959170818329,0.0607176199555397,-1.0000017881393433,-1.2166852951049805
0.1,27,0.10000000149011612,0.04247196018695831,-1.0,-1.3718976974487305
0.1,28,0.09990791231393814,0.37553203105926514,-1.0004000663757324,-0.4253530204296112
0.1,29,0.09999819844961166,0.4054871201515198,-1.0000078678131104,-0.3920229375362396
0.1,30,0.09999992698431015,0.02089352160692215,-1.0000003576278687,-1.6799883842468262
0.1,31,0.09999996423721313,0.17361199855804443,-1.0000001192092896,-0.7604202628135681
0.1,32,0.10000003129243851,0.11771251261234283,-0.9999998807907104,-0.9291773438453674
0.1,33,0.0999741479754448,0.07612879574298859,-1.0001122951507568,-1.1184509992599487
0.1,34,0.09996391087770462,0.09608107060194016,-1.0001567602157593,-1.017362117767334
0.1,35,0.09999995678663254,0.05754338204860687,-1.000000238418579,-1.2400046586990356
0.1,36,0.09999804198741913,0.2104007601737976,-1.000008463859558,-0.6769527196884155
0.1,37,0.09999995678663254,0.2610156834125519,-1.000000238418579,-0.583333432674408
0.1,38,0.09999840706586838,0.11203692108392715,-1.000006914138794,-0.9506388306617737
0.1,39,0.09998533129692078,0.20847061276435852,-1.0000636577606201,-0.680955171585083
0.1,40,0.09999996423721313,0.0915093794465065,-1.0000001192092896,-1.03853440284729
0.1,41,0.09999975562095642,0.2954893708229065,-1.000001072883606,-0.5294581651687622
0.1,42,0.09999913722276688,0.08082903921604156,-1.000003695487976,-1.0924326181411743
0.1,43,0.09999838471412659,0.1313040554523468,-1.0000070333480835,-0.8817218542098999
0.1,44,0.09999998658895493,0.08551977574825287,-1.0,-1.067933440208435
0.1,45,0.09999985992908478,0.16545507311820984,-1.0000005960464478,-0.7813199162483215
0.1,46,0.09999927133321762,0.0424487367272377,-1.0000032186508179,-1.3721352815628052
0.1,47,0.10000000149011612,0.10867488384246826,-1.0,-0.9638708233833313
0.1,48,0.09999997913837433,0.1020653173327446,-1.0000001192092896,-0.9911218285560608
0.1,49,0.09999972581863403,0.2687309980392456,-1.0000011920928955,-0.5706822872161865
