classifier,arch_type,attack,label,cpop,fs,lid,lid_ext,maha,kd
resnet50,CNN,FGSM,1,-0.012026667594909668,0.23173287510871887,29.583396911621094,29.583396911621094,15.796628952026367,0.4616260528564453
resnet50,CNN,FGSM,0,-0.10624358803033829,0.16360364854335785,48.904998779296875,48.904998779296875,9.924534797668457,0.42180347442626953
resnet50,CNN,FGSM,1,-0.027556300163269043,0.919456958770752,29.984718322753906,29.984718322753906,12.699753761291504,0.4450263977050781
resnet50,CNN,FGSM,0,-0.18298959732055664,0.2604813873767853,40.84752655029297,40.84752655029297,15.805501937866211,0.5193290710449219
resnet50,CNN,FGSM,1,-0.050615742802619934,0.6809679269790649,34.89720153808594,34.89720153808594,15.35034465789795,0.5011758804321289
resnet50,CNN,FGSM,0,-0.17323967814445496,0.1435723602771759,33.254878997802734,33.254878997802734,10.301724433898926,0.4157848358154297
resnet50,CNN,FGSM,1,-0.029798679053783417,0.15754704177379608,25.714567184448242,25.714567184448242,13.58460521697998,0.43434810638427734
resnet50,CNN,FGSM,0,-0.24713000655174255,0.30299288034439087,27.815567016601562,27.815567016601562,18.143651962280273,0.6176538467407227
resnet50,CNN,FGSM,1,-0.0317569300532341,0.3041646182537079,31.979372024536133,31.979372024536133,19.077007293701172,0.5871133804321289
resnet50,CNN,FGSM,0,-0.1180129423737526,0.33551326394081116,25.703113555908203,25.703113555908203,10.64061450958252,0.38242149353027344
resnet50,CNN,FGSM,1,-0.029861032962799072,0.3958726227283478,25.814626693725586,25.814626693725586,13.151999473571777,0.39525794982910156
resnet50,CNN,FGSM,0,-0.026427268981933594,0.1600823998451233,64.72528076171875,64.72528076171875,16.016454696655273,0.6031804084777832
resnet50,CNN,FGSM,1,-0.014896556735038757,0.29096150398254395,36.66498565673828,36.66498565673828,10.727193832397461,0.4414067268371582
resnet50,CNN,FGSM,0,-0.45656830072402954,0.4639362692832947,54.67402267456055,54.67402267456055,14.251615524291992,0.6032977104187012
resnet50,CNN,FGSM,1,-0.03671116381883621,0.808326005935669,89.88904571533203,89.88904571533203,13.202630043029785,0.5520424842834473
resnet50,CNN,FGSM,0,-0.07613810151815414,0.2677095830440521,29.501935958862305,29.501935958862305,14.643989562988281,0.48206472396850586
resnet50,CNN,FGSM,1,-0.03154389560222626,0.19857341051101685,33.455284118652344,33.455284118652344,13.559759140014648,0.4787287712097168
resnet50,CNN,FGSM,0,-0.3032721281051636,0.13893422484397888,31.50999641418457,31.50999641418457,15.42766284942627,0.44811201095581055
