classifier,arch_type,eps255,sid,label,cpop,fs,lid,lid_ext,fs_bit1,fs_bit2,fs_bit3,fs_bit5,fs_median3,fs_median5,fs_avgpool3
resnet50,CNN,2,21,1,-0.09806708991527557,1.9124200344085693,53.198970794677734,53.198970794677734,1.995271921157837,1.98968505859375,1.708878755569458,0.02614159695804119,0.8087460994720459,1.9676034450531006,1.9124200344085693
resnet50,CNN,2,22,0,-0.24630501866340637,0.1306789070367813,51.05386734008789,51.05386734008789,0.3958866596221924,0.3633512258529663,0.1306789070367813,0.03900839015841484,0.15680859982967377,0.1657564789056778,0.10885380208492279
resnet50,CNN,2,22,1,-0.10619594156742096,0.771080493927002,66.70188903808594,66.70188903808594,1.3339897394180298,1.0730347633361816,0.771080493927002,0.3991948962211609,0.5273481011390686,0.91566401720047,0.7130239009857178
resnet50,CNN,2,23,0,-0.05474075675010681,0.10964815318584442,10.236958503723145,10.236958503723145,0.3268834352493286,0.20553436875343323,0.09087914228439331,0.029999837279319763,0.1933305263519287,0.20261962711811066,0.10964815318584442
resnet50,CNN,2,23,1,-0.04395826905965805,0.5696424245834351,32.218502044677734,32.218502044677734,0.9898125529289246,0.836894154548645,0.55863356590271,0.26642853021621704,0.4994107186794281,0.5808390378952026,0.5696424245834351
resnet50,CNN,2,24,0,-0.03370543569326401,0.17889609932899475,19.25103759765625,19.25103759765625,0.3021791875362396,0.2576776146888733,0.11206074059009552,0.03957701474428177,0.20263606309890747,0.4633323848247528,0.17889609932899475
resnet50,CNN,2,24,1,-0.02957562357187271,1.4866364002227783,72.27259826660156,72.27259826660156,1.5124545097351074,1.5013103485107422,1.4799532890319824,0.554273247718811,1.504366159439087,1.5306296348571777,1.4866364002227783
resnet50,CNN,2,25,0,-0.09828094393014908,0.5187081098556519,76.42598724365234,76.42598724365234,0.5608594417572021,0.6001482605934143,0.24735303223133087,0.05312776938080788,0.5579444766044617,0.7866952419281006,0.5187081098556519
resnet50,CNN,2,25,1,-0.06887809187173843,1.1747541427612305,40.82647705078125,40.82647705078125,1.5033583641052246,1.3285709619522095,1.1747541427612305,0.002516847336664796,0.4727979600429535,1.4997926950454712,0.5491111278533936
resnet50,CNN,2,26,0,-0.09920904785394669,0.11447238177061081,44.16551971435547,44.16551971435547,0.2739156186580658,0.13123923540115356,0.05334986746311188,0.025632809847593307,0.06310257315635681,0.18675751984119415,0.11447238177061081
resnet50,CNN,2,26,1,-0.0725087895989418,1.9710419178009033,56.98822021484375,56.98822021484375,1.9712328910827637,1.971534252166748,1.9710419178009033,0.2294021099805832,1.970684289932251,1.9707826375961304,1.9693785905838013
resnet50,CNN,2,27,0,-0.04323568195104599,0.30756819248199463,40.529693603515625,40.529693603515625,0.39489126205444336,0.17327673733234406,0.22592756152153015,0.07481987029314041,0.291570246219635,0.5317467451095581,0.30756819248199463
resnet50,CNN,2,27,1,-0.03594321757555008,1.9521437883377075,32.00817108154297,32.00817108154297,1.990063190460205,1.9831883907318115,1.9440183639526367,0.03842274099588394,1.9249396324157715,1.979109287261963,1.9521437883377075
resnet50,CNN,2,28,0,-0.07698020339012146,0.44829216599464417,39.40959548950195,39.40959548950195,0.5219139456748962,0.40818700194358826,0.10805941373109818,0.0372350849211216,0.1959538608789444,0.3271847367286682,0.44829216599464417
resnet50,CNN,2,28,1,-0.05633997917175293,1.8583145141601562,33.14850616455078,33.14850616455078,1.9034048318862915,1.8338217735290527,1.6162960529327393,0.029633954167366028,1.7718875408172607,1.9276342391967773,1.8583145141601562
resnet50,CNN,2,29,0,-0.13403892517089844,0.6281195878982544,43.75758743286133,43.75758743286133,1.0343964099884033,0.6862092018127441,0.6281195878982544,0.19524461030960083,0.41242653131484985,0.5919265747070312,0.17454802989959717
resnet50,CNN,2,29,1,-0.08239837735891342,1.6112817525863647,51.08915328979492,51.08915328979492,1.987431287765503,1.8309729099273682,1.1658275127410889,0.0018459230195730925,1.4133472442626953,1.8991708755493164,1.6112817525863647
resnet50,CNN,2,30,0,-0.09269136190414429,0.08138274401426315,45.56024932861328,45.56024932861328,0.23003149032592773,0.721312940120697,0.05730482563376427,0.04163738340139389,0.08179788291454315,0.28395959734916687,0.08138274401426315
resnet50,CNN,2,30,1,-0.06766484677791595,1.8508646488189697,102.04326629638672,102.04326629638672,1.8606220483779907,1.8561726808547974,1.8508646488189697,1.6108109951019287,1.825820803642273,1.859360694885254,1.8186366558074951
resnet50,CNN,2,31,0,-0.1612967550754547,0.19446063041687012,91.69998931884766,91.69998931884766,0.4823545515537262,0.38663339614868164,0.19446063041687012,0.0663197711110115,0.0728796124458313,0.2435346096754074,0.1769384890794754
resnet50,CNN,2,31,1,-0.10531718283891678,1.9916590452194214,66.85626220703125,66.85626220703125,1.9971250295639038,1.979405403137207,1.9739669561386108,0.9249718189239502,1.9262381792068481,1.9941054582595825,1.9916590452194214
