detector,source,target,realized_fpr,tpr,self
fs_bit2,vit_b_16,resnet50,0.0,0.7166666666666667,False
fs_bit2,vit_b_16,swin_t,0.013333333333333334,0.76,False
fs_bit2,vit_b_16,vgg16,0.47,0.77,False
fs_bit2,vit_b_16,vit_b_16,0.05,0.5133333333333333,True
lid,convnext_tiny,convnext_tiny,0.05,0.2833333333333333,True
lid,convnext_tiny,densenet121,0.0,0.023333333333333334,False
lid,convnext_tiny,maxvit_t,0.02666666666666667,0.13,False
lid,convnext_tiny,mobilenet_v3_large,0.023333333333333334,0.6033333333333334,False
lid,convnext_tiny,resnet50,0.06666666666666667,0.09,False
lid,convnext_tiny,swin_t,0.08666666666666667,0.48333333333333334,False
lid,convnext_tiny,vgg16,0.0,0.19333333333333333,False
lid,convnext_tiny,vit_b_16,0.08,0.21333333333333335,False
lid,densenet121,convnext_tiny,0.47333333333333333,0.8633333333333333,False
lid,densenet121,densenet121,0.05,0.36666666666666664,True
lid,densenet121,maxvit_t,0.42333333333333334,0.7166666666666667,False
lid,densenet121,mobilenet_v3_large,0.38,0.9733333333333334,False
lid,densenet121,resnet50,0.4666666666666667,0.5466666666666666,False
lid,densenet121,swin_t,0.5133333333333333,0.9,False
lid,densenet121,vgg16,0.06666666666666667,0.8033333333333333,False
lid,densenet121,vit_b_16,0.62,0.7633333333333333,False
lid,maxvit_t,convnext_tiny,0.07,0.39,False
lid,maxvit_t,densenet121,0.0,0.04,False
lid,maxvit_t,maxvit_t,0.05,0.19333333333333333,True
lid,maxvit_t,mobilenet_v3_large,0.03666666666666667,0.69,False
lid,maxvit_t,resnet50,0.09666666666666666,0.12333333333333334,False
lid,maxvit_t,swin_t,0.13666666666666666,0.56,False
lid,maxvit_t,vgg16,0.0033333333333333335,0.2866666666666667,False
lid,maxvit_t,vit_b_16,0.14,0.31666666666666665,False
lid,mobilenet_v3_large,convnext_tiny,0.12333333333333334,0.4866666666666667,False
lid,mobilenet_v3_large,densenet121,0.0,0.06666666666666667,False
lid,mobilenet_v3_large,maxvit_t,0.08333333333333333,0.27,False
lid,mobilenet_v3_large,mobilenet_v3_large,0.05,0.75,True
lid,mobilenet_v3_large,resnet50,0.15,0.15,False
lid,mobilenet_v3_large,swin_t,0.17666666666666667,0.6266666666666667,False
lid,mobilenet_v3_large,vgg16,0.006666666666666667,0.35333333333333333,False
lid,mobilenet_v3_large,vit_b_16,0.21,0.4033333333333333,False
lid,resnet50,convnext_tiny,0.043333333333333335,0.22666666666666666,False
lid,resnet50,densenet121,0.0,0.013333333333333334,False
lid,resnet50,maxvit_t,0.02,0.10333333333333333,False
lid,resnet50,mobilenet_v3_large,0.02,0.5466666666666666,False
lid,resnet50,resnet50,0.05,0.08333333333333333,True
lid,resnet50,swin_t,0.056666666666666664,0.43666666666666665,False
lid,resnet50,vgg16,0.0,0.16,False
lid,resnet50,vit_b_16,0.05333333333333334,0.16333333333333333,False
lid,swin_t,convnext_tiny,0.03666666666666667,0.19333333333333333,False
lid,swin_t,densenet121,0.0,0.013333333333333334,False
lid,swin_t,maxvit_t,0.013333333333333334,0.08333333333333333,False
lid,swin_t,mobilenet_v3_large,0.016666666666666666,0.5033333333333333,False
lid,swin_t,resnet50,0.05,0.07333333333333333,False
lid,swin_t,swin_t,0.05,0.4066666666666667,True
lid,swin_t,vgg16,0.0,0.15666666666666668,False
lid,swin_t,vit_b_16,0.04666666666666667,0.13333333333333333,False
lid,vgg16,convnext_tiny,0.3933333333333333,0.81,False
lid,vgg16,densenet121,0.03333333333333333,0.28,False
lid,vgg16,maxvit_t,0.35333333333333333,0.6566666666666666,False
lid,vgg16,mobilenet_v3_large,0.32666666666666666,0.95,False
lid,vgg16,resnet50,0.3933333333333333,0.4766666666666667,False
lid,vgg16,swin_t,0.43,0.8433333333333334,False
lid,vgg16,vgg16,0.05,0.73,True
lid,vgg16,vit_b_16,0.5466666666666666,0.7166666666666667,False
lid,vit_b_16,convnext_tiny,0.04,0.21666666666666667,False
lid,vit_b_16,densenet121,0.0,0.013333333333333334,False
lid,vit_b_16,maxvit_t,0.016666666666666666,0.09666666666666666,False
lid,vit_b_16,mobilenet_v3_large,0.02,0.53,False
lid,vit_b_16,resnet50,0.05,0.08333333333333333,False
lid,vit_b_16,swin_t,0.05333333333333334,0.42333333333333334,False
lid,vit_b_16,vgg16,0.0,0.16,False
lid,vit_b_16,vit_b_16,0.05,0.15,True
